Amangocano,Cpr Mngo Sda
Americano,RV Sda Cpr
Bacardi Special,WRum Gin Lme Gren
Bee's Knees,Gin Lmn Hny
Between the Sheets,WRum Bdy TS Lmn
Bitter Mai Tai,DR Cmp TS Lme Org
Black Russian,Vod CofLiq
Boulevard,Wh WV TS
Boulevardier,Wh RV Cpr
Champagne cocktail,Bdy Ang Chm
Christmopuddington,SpicLiq Crn Gren
Clover Club,Gin Lmn EggW RaspSyr
Cosmopolitan,Vod Lme Crn TS
Cuba Libre,WRum Cola Lme
Cuban Mule,Rum Lme GgB
Daiquiri,WRum Lme
Dark n Stormy,DRum GgB Lme Ang
Dry Daiquiri,DRum Lme Cpr Pas
El Presidente,DRum WV RV TS Gren
Elixirita,RTeq Lme Agv Bdy
Espresso Martini,Vod CofLiq Esp
French 75,Gin Lmn Chm
French Negroni,Bdy Cpr RV
G&T,Gin Ton
Gimlet,Gin Lme
Gin Fizz,Gin Lmn Sda
Gin Mojito,Gin Mnt Lme Sda
Gin Rickey,Gin Lme Sda
Gin Sling,Gin Lmn Sda RV Ang
Gold Rush,Wh Lmn Hny
Grand Slam No.2,WRum GM Lmn Lme Gren
Greta Garbo,WRum Mar Lme Ani
Harvard,Bdy Ang RV Sda
Horse's Neck,Bdy GgA Ang
Income Tax,Gin RV WV Ora Ang
Islander,RV Wh Ani
John Collins,Gin Lmn Sda
John Collins (w),Wh Lmn Sda Ang
Journalist,Gin WV RV TS Lmn Ang
Jungle Bird,DRum Cpr Lme Pineap
Long Island Ice Tea,Vod Teq WRum Gin TS Lmn Cola
Mai Tai,DR TS Lme Org
Mangoni,Gin Mngo Cpr
Manhattan,Wh RV Ang
Margarita,Teq TS Lme
Martinez (dfrd),Gin RV WV TS Ang
Martinez (IBA),Gin RV Ang Mar
Martini,Gin WV
Mary Pickford,WRum Pna Mar Gren
Mint Julep,Wh Mnt
Mojito,WRum Lme Mnt Sda
Moscow Mule,Vod GgB Lme
Negroni,Gin RV Cpr
New York Minute,RTeq RV Mar Bitt
New York Sour,Wh Lmn EggW RW
Old Fashioned,Wh Ang
Old pal,Wh WV Cpr
Paloma,Teq Lme Gpf
Perfect Manhattan,Wh RV WV Ang
Planter's Punch,DRum Lme Ang
Red Angel Martini,RW GM Mar
Red Manhattan,Wh RV RW Mar Ang
Rickey,Wh Lme Sda
Screwdriver,Vod Ora
Sidecar,Bdy TS Lmn
Singapore Sling (DdG),Gin Chry Ben TS Pna Lme Gren Ang
Southside,Gin Lmn Mnt
Suffering Bastard,Gin Bdy Ang Lme GgA Mnt
Tequila Sunrise,Teq Ora Gren
Tia Mia Fizz,WRum RTeq TS Lme Org
Tommy's Margarita,RTeq Lme Agv
Trinidad Sour,Ango Wh Lmn Org
Tuxedo,Gin WV Mar Abs Ang
Twelve Mile Limit,WRum Bdy Wh Lmn Gren
Vesper,Gin Vod LB
Vodka Martini,Vod WV
Whiskey Smash,Wh Lmn Mnt
Whiskey Sour,Wh Lmn
Whiskey tonic,Wh Ton
White Lady,Gin TS Lmn EggW
White Russian,Vod CofLiq Crm
Brandy Alexander,Bdy Crm Choc
Whiskey Albertus,Wh Crm CofLiq
